period_ordered,book_id,nikh_period,level,sentence
6. Chun / Roh Transitional,ta_e51,5th National Curriculum (1987–1992),Elementary,"역대 국사교과서

5차 교육과정

   국민 교육 헌장
   1\."
6. Chun / Roh Transitional,ta_e51,5th National Curriculum (1987–1992),Elementary,"오랜 역사를 지닌 우리 민족
   2\."
6. Chun / Roh Transitional,ta_e51,5th National Curriculum (1987–1992),Elementary,"문화재와 박물관
   3\."
6. Chun / Roh Transitional,ta_e51,5th National Curriculum (1987–1992),Elementary,"생활의 지혜
   4\."
6. Chun / Roh Transitional,ta_e51,5th National Curriculum (1987–1992),Elementary,"우리들의 모듬살이
   [판권]

 국민 교육 헌장

우리는 민족 중흥의 역사적 사명을 띠고 이 땅에 태어났다."
6. Chun / Roh Transitional,ta_e51,5th National Curriculum (1987–1992),Elementary,"조상의 빛난 얼을 오늘에 되살려, 안으로 자주 독립의 자세를 확립하고, 밖으로
인류 공영에 이바지할 때다."
6. Chun / Roh Transitional,ta_e51,5th National Curriculum (1987–1992),Elementary,"이에, 우리의 나아갈 바를 밝혀 교육의 지표로 삼는다."
6. Chun / Roh Transitional,ta_e51,5th National Curriculum (1987–1992),Elementary,"성실한 마음과 튼튼한 몸으로, 학문과 기술을 배우고 익히며, 타고난 저마다의 소질을 계발하고, 우리의 처지를 약진의 발판으로 삼아, 창조의
힘과 개척의 정신을 기른다."
6. Chun / Roh Transitional,ta_e51,5th National Curriculum (1987–1992),Elementary,"공익과 질서를 앞세우며 능률과 실질을 숭상하고, 경애와 신의에 뿌리박은 상부 상조의 전통을 이어받아, 명랑하고
따뜻한 협동 정신을 북돋운다."
6. Chun / Roh Transitional,ta_e51,5th National Curriculum (1987–1992),Elementary,"우리의 창의와 협력을 바탕으로 나라가 발전하며, 나라의 융성이 나의 발전의 근본임을 깨달아, 자유와 권리에
따르는 책임과 의무를 다하며, 스스로 국가 건설에 참여하고 봉사하는 국민 정신을 드높인다."
6. Chun / Roh Transitional,ta_e51,5th National Curriculum (1987–1992),Elementary,"반공 민주 정신에 투철한 애국 애족이 우리의 삶의 길이며, 자유 세계의 이상을 실현하는 기반이다."
6. Chun / Roh Transitional,ta_e51,5th National Curriculum (1987–1992),Elementary,"길이 후손에 물려줄 영광된 통일 조국의
앞날을 내다보며, 신념과 긍지를 지닌 근면한 국민으로서, 슬기를 모아 줄기찬 노력으로, 새 역사를 창조하자."
6. Chun / Roh Transitional,ta_e51,5th National Curriculum (1987–1992),Elementary,1.
6. Chun / Roh Transitional,ta_e51,5th National Curriculum (1987–1992),Elementary,"오랜 역사를 지닌 우리 민족

   (1) 역사의 고장 강화도
   (2) 역사 공부에 필요한 자료
   (3) 옛 도읍지

고장에는 그 고장의 내력이 있고, 나라에는 그 나라의 역사가 있다."
6. Chun / Roh Transitional,ta_e51,5th National Curriculum (1987–1992),Elementary,고장의 내력은 우리 나라의 역사와 깊은 관계가 있다.
6. Chun / Roh Transitional,ta_e51,5th National Curriculum (1987–1992),Elementary,그러므로 고장의 내력을 통해 우리 나라의 내력을 미루어 생각할 수 있다.
6. Chun / Roh Transitional,ta_e51,5th National Curriculum (1987–1992),Elementary,우리 나라는 오랜 역사를 지니고 있다.
6. Chun / Roh Transitional,ta_e51,5th National Curriculum (1987–1992),Elementary,"우리 나라의 역사를 알면, 예로부터 오늘날에 이르기까지 나라가 발전해 온 모습과 조상들의 생활 모습을
알 수 있다."
6. Chun / Roh Transitional,ta_e51,5th National Curriculum (1987–1992),Elementary,그리고 우리 나라의 앞날을 바르게 내다보고 조상들의 훌륭한 슬기를 이어받아 보다 훌륭한 문화를 이룩할 수 있게 된다.
6. Chun / Roh Transitional,ta_e51,5th National Curriculum (1987–1992),Elementary,"(1) 역사의 고장 강화도

   [1] 강화도
   [2] 초지진과 고려 궁터
   [3] 참성단과 고인돌
   학습 정리

강화도에는 오랜 옛날부터 근래에 이르기까지 우리 조상들이 살아 온 모습을 살펴볼 수 있는 유적과 유물이 많다."
6. Chun / Roh Transitional,ta_e51,5th National Curriculum (1987–1992),Elementary,"그래서 강화도는 우리 나라
역사를 공부하는 데 많은 도움을 주는 고장 중의 하나이다."
6. Chun / Roh Transitional,ta_e51,5th National Curriculum (1987–1992),Elementary,강화도에 있는 유적과 유물을 살펴보면서 우리 조상들의 생활 모습을 알아보자.
6. Chun / Roh Transitional,ta_e51,5th National Curriculum (1987–1992),Elementary,"강화도의 이름난 유적과 유물  
오랜 옛날부터 근래에 이르기까지의 유적과 유물이 곳곳에 있다."
6. Chun / Roh Transitional,ta_e51,5th National Curriculum (1987–1992),Elementary,"[1] 강화도

강화도의 자연과 산업을 살펴보고, 옛날에 이 곳이 중요하게 여겨진 까닭을 알아보자."
6. Chun / Roh Transitional,ta_e51,5th National Curriculum (1987–1992),Elementary,"강화도는 한강과 임진강이 황해로 흘러드는 곳에 자리잡은 큰 섬으로, 주변에 있는 여러 개의 작은 섬들과 함께 강화군을 이룬다."
6. Chun / Roh Transitional,ta_e51,5th National Curriculum (1987–1992),Elementary,"강화읍  
강화도의 중심지로, 오늘날에는 많은 건물과 새로운 시설들이 늘어나고 있다."
6. Chun / Roh Transitional,ta_e51,5th National Curriculum (1987–1992),Elementary,"산지가 많은 편이지만 산세는 험하지 않으며, 산지 사이에 있는 평지와 산기슭에 논과 밭이 고루 일구어져 있다."
6. Chun / Roh Transitional,ta_e51,5th National Curriculum (1987–1992),Elementary,"가까운 바다에서는 새우가 많이
잡힌다."
6. Chun / Roh Transitional,ta_e51,5th National Curriculum (1987–1992),Elementary,강화도의 대표적인 특산물은 인삼과 화문석이다.
6. Chun / Roh Transitional,ta_e51,5th National Curriculum (1987–1992),Elementary,"인삼은 6⋅25때 개성 사람들이 이 곳으로 옮겨 와 살면서 재배 기술이 보급되어 많이 가꾸게
되었다."
6. Chun / Roh Transitional,ta_e51,5th National Curriculum (1987–1992),Elementary,대개 가정에서 사람의 손으로 만드는 화문석은 품질이 좋고 무늬가 아름다워 전국적으로 팔려 나간다.
6. Chun / Roh Transitional,ta_e51,5th National Curriculum (1987–1992),Elementary,"강화의 화문석  
강화 사람들은 예로부터 화문석을 만들어 팔아서 많은 수입을 올리고 있다."
6. Chun / Roh Transitional,ta_e51,5th National Curriculum (1987–1992),Elementary,한강 하구에 자리잡고 있는 강화도는 옛적에는 서울을 드나드는 뱃길의 길목이었다.
6. Chun / Roh Transitional,ta_e51,5th National Curriculum (1987–1992),Elementary,"즉, 황해에서 서울을 오가는 배들은 강화도를 지나 한강의
뱃길을 따라 다녔다."
6. Chun / Roh Transitional,ta_e51,5th National Curriculum (1987–1992),Elementary,이 뱃길은 강화도 남쪽의 인천과 북쪽의 해주로도 이어져 멀리 중국으로 나가는 뱃길과 이어져 있었다.
6. Chun / Roh Transitional,ta_e51,5th National Curriculum (1987–1992),Elementary,이와 같이 강화도는 교통상 중요한 구실을 하였던 곳이다.
6. Chun / Roh Transitional,ta_e51,5th National Curriculum (1987–1992),Elementary,"약 80년 전부터 강화도와 육지 사이에 기선이 다녔는데, 우리 나라 사람들 중에는 일본 사람의 배라고 하여 기선을 타지 않은 사람이 많았다고
한다."
6. Chun / Roh Transitional,ta_e51,5th National Curriculum (1987–1992),Elementary,"지금은 강화도와 김포 사이에 강화 대교가 놓여, 육지와의 교통이 매우 편리해졌다."
6. Chun / Roh Transitional,ta_e51,5th National Curriculum (1987–1992),Elementary,"나룻배와 강화 대교  
강화 대교가 놓이면서 사람과 짐을 싣고 바다를 건너다니던 배를 볼 수 없게 되었다."
6. Chun / Roh Transitional,ta_e51,5th National Curriculum (1987–1992),Elementary,강화도는 국방상으로도 중요한 구실을 하던 곳이다.
6. Chun / Roh Transitional,ta_e51,5th National Curriculum (1987–1992),Elementary,"우리 조상들이 외적의 침입을 받았을 때, 이를 용감하게 물리치고 나라를 지켰던 자취는
지금도 여러 곳에 남아있다."
6. Chun / Roh Transitional,ta_e51,5th National Curriculum (1987–1992),Elementary,"강화 역사관  
전시실의 유물을 통해서 조상들의 생활 모습을 살펴 볼 수 있다."
6. Chun / Roh Transitional,ta_e51,5th National Curriculum (1987–1992),Elementary,"이처럼 강화도는 육지에서 가깝고, 평지와 산지, 바다로부터 산물을 얻을 수 있는 자연 환경을 갖추고 있어, 사람들이 살기에 비교적 좋은
조건을 갖추고 있다."
6. Chun / Roh Transitional,ta_e51,5th National Curriculum (1987–1992),Elementary,"특히, 강화도는 서울로 통하는 한강의 어귀에 자리잡고 있어, 교통과 국방으로도 중요한 구실을 하였던 곳이다."
6. Chun / Roh Transitional,ta_e51,5th National Curriculum (1987–1992),Elementary,"우리 조상들은 오랜 옛날부터 이 곳에서 살면서 나라를 지켜 왔기 때문에, 강화도에는 조상들의 생활 모습과 자취를 살펴볼 수 있는 유적과
유물이 많다."
6. Chun / Roh Transitional,ta_e51,5th National Curriculum (1987–1992),Elementary,"[2] 초지진과 고려 궁터

강화도에 있는 유적을 통해서 조상들이 나라를 지켜 온 모습을 알아보자."
6. Chun / Roh Transitional,ta_e51,5th National Curriculum (1987–1992),Elementary,"강화도에는 ‘진’이나 ‘보’가 붙은 지명이 흔한데, 진은 군인이 주둔했던 곳이고, 보는 성곽의 일종이다."
6. Chun / Roh Transitional,ta_e51,5th National Curriculum (1987–1992),Elementary,"우리는 이 진이나 보를 통하여
조상들이 나라를 지켰던 모습을 살펴볼 수 있다."
6. Chun / Roh Transitional,ta_e51,5th National Curriculum (1987–1992),Elementary,초지진은 강화도의 남동쪽 바닷가에 자리잡고 있다.
6. Chun / Roh Transitional,ta_e51,5th National Curriculum (1987–1992),Elementary,옛날에 강화도 남쪽에서 한강 쪽으로 올라 가려는 배들은 이 초지진을 지나야만 했다.
6. Chun / Roh Transitional,ta_e51,5th National Curriculum (1987–1992),Elementary,"그래서
당시의 우리 군사들은 서울의 안전을 위하여 이 곳을 지켰으며, 만약 다른 나라의 배가 허락 없이 지나가려고 하면 이를 막았다."
6. Chun / Roh Transitional,ta_e51,5th National Curriculum (1987–1992),Elementary,"초지진  
강화 해협을 지키기 위해 설치한 진으로, 포와 총을 쏘았던 자리가 여러 곳에 있다."
6. Chun / Roh Transitional,ta_e51,5th National Curriculum (1987–1992),Elementary,지금으로부터 120여 년 전 프랑스와 미국 군함이 쳐들어왔을 때에 우리 군사들은 바로 여기서 용감하게 싸웠다.
6. Chun / Roh Transitional,ta_e51,5th National Curriculum (1987–1992),Elementary,강화 대교를 건너 강화도로 들어가는 길목에 갑곶진이 있다.
6. Chun / Roh Transitional,ta_e51,5th National Curriculum (1987–1992),Elementary,"갑곶진은 강화도와 육지를 오고 갈 때에, 배를 타던 나루터가 있던 곳이다."
6. Chun / Roh Transitional,ta_e51,5th National Curriculum (1987–1992),Elementary,"갑곶진은 교통상 중요한 구실을 하였을 뿐 아니라, 외적의 침입을 막는 데도 중요한 구실을 하였다."
6. Chun / Roh Transitional,ta_e51,5th National Curriculum (1987–1992),Elementary,"갑곶진  
강화도와 육지를 오가는 길목에 자리잡고 있어, 옛날부터 교통상 중요한 구실을 하였던 곳이다."
6. Chun / Roh Transitional,ta_e51,5th National Curriculum (1987–1992),Elementary,"그 밖에 광성보, 덕진진 등도 옛날에는 군사들을 두어 지켰던 곳으로, 옛날의 포대를 다시 손질해 놓은 모습을 볼 수 있다."
6. Chun / Roh Transitional,ta_e51,5th National Curriculum (1987–1992),Elementary,"덕진진 포대  
초지진 바로 북쪽에 자리잡은 포대로, 네모 난 구멍을 통해 대포를 쏘았다."
6. Chun / Roh Transitional,ta_e51,5th National Curriculum (1987–1992),Elementary,강화읍 중심부에는 ‘고려 궁터’라는 옛 궁궐터가 남아 있다.
6. Chun / Roh Transitional,ta_e51,5th National Curriculum (1987–1992),Elementary,"이 곳은 중국의 북쪽에서 나라를 세운 몽고족이 침략하였을 때에, 이에 맞서
싸우던 고려가 수도를 강화도로 잠시 옮기고 궁궐을 지었던 곳이다."
6. Chun / Roh Transitional,ta_e51,5th National Curriculum (1987–1992),Elementary,"고려 궁터  
처음 이 곳에 세웠던 궁궐은 불타버려 그 터만 남아 있었으나 근래에 옛 모습을 되살려 궁궐의 일부를 다시 세웠다."
6. Chun / Roh Transitional,ta_e51,5th National Curriculum (1987–1992),Elementary,"강화도와 육지 사이의 바다는 비록 폭은 좁지만, 물살아 세어 배로 건너기가 매우 어려웠다."
6. Chun / Roh Transitional,ta_e51,5th National Curriculum (1987–1992),Elementary,"그래서 바다에 익숙하지 못한 몽고군은 강화도까지
쳐들어오지 못했고, 고려는 꿋꿋하게 싸워 나라를 지킬 수 있었다."
6. Chun / Roh Transitional,ta_e51,5th National Curriculum (1987–1992),Elementary,우리 조상들은 외적과 맞서 싸우는 어려움 속에서도 훌륭한 문화를 꽃피웠다.
6. Chun / Roh Transitional,ta_e51,5th National Curriculum (1987–1992),Elementary,"우리 민족이 자랑거리로 내세우는 금속 활자와 팔만 대장경판도
몽고군의 침략을 물리치는 어려움 속에서 이루어 진 것이다."
6. Chun / Roh Transitional,ta_e51,5th National Curriculum (1987–1992),Elementary,"연구

사회과 부도 4, 8쪽을 보고 강화도가 서울을 지키는 곳으로서 중요했던 까닭을 살펴보자."
6. Chun / Roh Transitional,ta_e51,5th National Curriculum (1987–1992),Elementary,"[3] 참성단과 고인돌

강화도에 있는 유적과 유물을 통해서 아주 오랜 옛날 우리 조상들의 생활 모습을 알아보자."
6. Chun / Roh Transitional,ta_e51,5th National Curriculum (1987–1992),Elementary,강화도에는 단군과 관계 깊은 유적이 많다.
