doc_id,text,category,year,start,votes,answered_label,title
petition_0000,국민연금 과 일반 민간사보험과 다른점은 있다면 사보험은 어려울때 해약해서 그동안 부은거 찾아 급한불 끌수있지만 국민연금은 그게 안되 사보험은 돈못내면 해약 좀손해보고라도. 환급받을수있지만 국민연금 같은경우 수익없어 못내면 홀딩되고 60세까지 찾지를 못하게해놨어 자영업자들 같은경우는 못내면 압류가들어와 결국 국가가 노후복지빙자로 수익율 떠들어대며 국민상대로. 금융장사하는거랑 모가달라?? 635조 적립금 쌓아넣고 주식투자하다 날려먹고 당장 힘들단 국민 돈 안돌려주고 이러면 안되지 않나 ??,보건복지,2018,2018-08-14,13,Not answered,외 자꾸 국민돈 겅제로 걷어 노후에 준단거야??수익률이 사연금보다좋다고???
petition_0001,8세5세 엄마입니다.큰애7살때부터 일을 시작했습니다.3시간 일입니다.아이 유치원 하원 시간 마중나갈수 있어 힘들어도 했는데요.급여 문제 조사좀 부탁드립니다.시설장.(소개시켜주는 사무실)사무실 마다 요양보호사 월급 금액차이가 크며..차비 5만원~7만원 빼면 남는거 30만원~40만원. 일당제라 빨간날 빼면 임금이 들쑥날쑥 합니다..사무실에서 요양보호사 1명당 얼마를 떼여가는지 알고 싶습니다.우연히 대상자 할머니가 보여 주셨는데요 사무실에서 대략20.000원~28.000원 정도 사무실에서 떼여가는것 같은데요. 저도 잘알지 못해 조사 부탁 드리고자 올립니다..,보건복지,2018,2018-06-21,3,Not answered,요양보호사 월급 조사해주새요
petition_0002,300명의 국회의원들은 특수활동비가 공개되면 의정활동이 위축된다며 국민을 상대로 대법원에 특수활동비 공개무효가처분을 진행중입니다. 국민은 없고 저들의 사사로운 이익만 있습니다. 민생은 없고 선거만 있습니다. 국가정보원에 배당되는 특수활동비만 매년 5000억원이 넘는다고 들었습니다. 정치인과 국가기관들은 천문학적 세금을 영수증도 없이 빼쓰면서도 정작 독립유공자 후손들에게 줄 연금이 어디있느냐고 말합니다. 애국지사후손들 연금 다주면 국가재정이 거덜날 거랍니다. 국회의원들과 공무원들은 자신들의 세비만 인상하고 챙길 줄 알고 역사에 대한 기본적인 예의조차없습니다. 특수활동비로 배를 투드리면서 국가에 돈이 어디있냐고 말합니다. 지금 연금을 받지 못 하는 손자녀들은 6만명이 넘는다고 합니다. 이번에 생활지원금 발송을 하면서 해방후 처음으로 얻어낸 국가보훈처의 정보입니다. 대체 생활지원금이란게 뭡니까? 이것은 법에도 없는 것입니다. 연금도 아니고 보상금도 아니며 아무런 재산이나 소득도 없으면 삼사십만원을 준다는 것입니다. 문재인정권이 지나가면 다른 정권에서는 법에도 없는 지원책이기에 폐기될 가능성이 높다고 봅니다. 대체 이런 짓을 왜하는 겁니까? 애국지사 후손들에게 연금지원은 싫고 그렇다고 보훈복지는 잘해준다는 평판은 듣고 싶은 것으로 나온 법외정책입니까? 왜 해방후 73년이 넘었음에도 애국지사후손들은 극빈층으로 내몰려 살아야 합니까? 국가가 아직도 거지라서 입니까? 애국지사 손자녀 대부분 60대에서 80대사이의 고령입니다. 그러나 대통령을 비롯해서 국회의원들과 해당부처의 공무원들은 아무런 거리낌없이 이들을 무시해 오고 있습니다. 대부분의 손자녀들도 이렇게 무시되고 있는데 문재인대통렁은 삼대까지 국가가 확실히 책임지겠다 했습니다. 애국지사 후손들은 아무말이나 해도 되는 사람들입니까? 독립유공자후손들은 현재 힘이 없으니까 약자니까 그렇게 만만하게 보이는 겁니까?,보건복지,2018,2018-01-12,0,Not answered,독립유공자 후손들을 언제까지 방치하실 겁니까?
petition_0003,남편을 잃고 생활고에 시달리던 두모녀가 죽은지 몇달이 지나서야 발견되었습니다. 스티로폼 위에서 어르신들이 추위와 싸워가며 잠을 청하십니다... 정작 우리 나라 국민들은 제대로 된 복지를 누리고 있지 못하는데 다문화가정은 우리가 듣도 보도 못한 복지를 누리며 살더군요! 정부에서 대학병원에서 출산을 할 수 있도록 도와주고 정기적으로 건강 체크해주시고... 기저귀 생필품 지원해주고... 우리는 알지도 못하는 온갖 종류의 복지를 우선순위로 누리며 살고 있더군요... 이 나라의 주인이 누구입니까! 세금 꼬박꼬박 내고 아무리 열심히 살려고 발버둥 쳐도 서민들은 생활고에서 벗어나지 못하고 병원 하나 가는것도 쉽지가 않습니다. 우리 정부는 도대체 누구를 위한 정부입니까? 다문화 가족들은 대한민국에서 살기가 편하니 그 기족들까지 다 들어오려 하고 우리 국민들은 이나라에 사는것이 힘들어 이민을 생각하기도 하는 이 현실을 대한민국 정부는 아시기나 하십니까! 다문화가정에 대한 지원 만큼이나 자국민을 위한 지원도 신경써 주시고 정책에 반영해 주시길 바라는 마음입니다... 이렇게 소외되어 죽어가는 자국민들을 보호해 주세요...,보건복지,2018,2018-04-07,3,Not answered,자국민보호
petition_0004,병영입대로 권고사직처리 하였는데 ... 전역하고 6주만에 구직급여신청을 하려했는데.. 신청기간이 지나서 받을수 없습니다. 국방의 의무로인해 실업자가 된청년입니다. 실업한지 1년내에 구직급여신청을 하지않으면 그이력이 무산되더군요 특례로 연기신청이 가능하지만 이것또한 전역후 한달 내 입니다. 처음태어나서 아무것도 모르고 끌려간 군대때문에 실업급여나 구직에대한 걱정은 있었지만 구직급여란제도를 너무 늦게 알아버렸군요 고작 전역후 6주인데... 군대 내에서 실업급여제도에대한 교육이 생기던지. 연기신청 가능일이 군필자는 특례로 기간을 늘려야한다 생각합니다. 국방의 의무로인해 오로지 실업에대한 피해를입었는데 그 보상도 받을수 없다니 너무 억울합니다. 국방의 의무만 강조하고 가지않으면 범죄자취급받아 피할수 없는데 왜 그에 따른보상이 너무도 없습니다.,보건복지,2018,2018-05-14,2,Not answered,병영입대로 권고사직처리 하였는데 ... 전역하고 6주만에 구직급여신청을 하려했는데.. 신청기간이 지나서 받을수 없습니다.
petition_0005,몇달새 몇억이 오른이유는 큰소리쳤던 지난 보유세개편이 실패해서 투기가 몰렸고 지난 4월에 임대등록자들에게 많은 세제혜택줘서 애물이 없어진것이다 그들 매물이 50프로만 나와도 미친 집값 정상됩니다 보유세 더 강력하게 인상하고 임대사업자들 혜택을 소급적용해서 내년까지 9억이상 칩을 안팔면 양도세 내게 해야합니다 9억초과 1주택자도 소급적용하는데 임대사업자도 소급적용하세요,보건복지,2018,2018-11-07,22,Not answered,임대사업자혜택 소급폐지
petition_0006,"국가유공자 중에 6.25 전쟁 참전자의 경우 귀향증 내지는 이를 증명할 사진등을 분실한 경우 2명의 인우보증으로 참전 사실을 본인이 증명하여야 하는데, 이마저도 쉽지 않은 경우 국가유공자의 신분으로 명예를 얻지 못하고 사망하시는 분들도 있을 수 있습니다. 휴전이후 어언 65년이 지나서 인우보증도 어려운 경우라서 본인들의 기억에만 존재하는 그사실을 구술면접으로 신청의 기회를 부여하시되 유공자 혜택을 차별하는 규정을 적용하시어 이분들에겐 명예 즉 신분만 인정해 주시고, 연금등은 미지급 하시더라도 되지 않겠습니까. 대통령께서 어제 말씀이 ""한분이라도 더 찾으시 겠다~""고 하셔서 제안합니다. 부디 그분들이 최소한 가족에게라도 인정받는 국가유공자 신분을 취득할 수 있도록 기간이 지난 경우의 신청절차를 살펴봐주십시요.",보건복지,2018,2018-06-07,1,Not answered,국가유공자 서류미비 사유로 반려된 경우 재심 기회를
petition_0007,"현재 대중교통요금을 만65세이상에게는 무조건적으로 무료로해주고있습니다. 60대를 대중교통우대 대상으로하는 유래는 예전 독일의 전후시대에 평균수명이 채 40대가되지 않는 상황에서 노인우대 대상을 60대를 대상으로 하였습니다. 그런데 우리나라의 현재상황은 매년 대중교통적자난에 시달리고있고 평균수명은 늘어가면서 저출생이라는 이중적 사회난이 발생한지 이미 오래입니다. 그래서 저는 노인대상 대중교통요금제 탄력운용을 제안합니다.제가 생각한 부분은 다음과 같습니다. 출퇴근시간인 아침 6시~8시 30분, 저녁 6시~8시까지, 주말과 공휴일에 65세이상에 현재 지하철요금의 반값을 받는 것입니다. 앞으로의 미래세대뿐만아니라 현시대의 국민들이 감당해야할 세금이 계속해서 부가될 수 밖에 없는 상황에 있습니다. 이 문제는 미뤄질 문제가 아니라 시급히 해결해야할 문제이고 미뤄진다하더라도 어차피 언젠가는 개선해야하는 필수적인 문제입니다. 제가 이러한 제안을 할 수 있는 이 사이트가 있다는 것에 감사하며 꼭 제가 제안한 요금대가 아니어도 좋으니 구체적으로 필수적으로 검토해주시기 바랍니다.",보건복지,2018,2018-01-28,0,Not answered,노인대상 대중교통요금제 탄력운용 제안합니다
petition_0008,"몇해전 제가 해오던 사업을 접었습니다 망한거죠. 국민연금에서 압류가 들어왔습니다. 전화를 걸어서 항의했습니다. 개인의 노후복지를 위해서라는 제도인데 지금 그 개인이 자살을 하고 싶은 심정인데 못낸다고 압류가 들어오는게 맞느냐고...담당자는 이건 세금이니 내야한다고 하더군요... 압류는 막았지만 담당자에게 다시 전화해 보니 휴가를 갔더군요....그리고 얼마전 국민연금 직원들이 자신들 처우에 대해 데모를 하는 걸 봤습니다. 씁쓸했습니다. 내가 자살하고 싶은 마음 참아가면서 저 사람들 월급 대주고 있다는 생각이 들더군요. 제 청원이 답변을 받을 거라고는 생각치 않습니다만 정말 이 나라의 개혁을 해야 한다면 복지라는 가면을 뒤집어 쓴 국민연금이라는 세금제도를 바꿔야 한다고 봅니다. 도대체 국민을 얼마나 우습게 보면 이런식으로 제도를 운영합니까? 국민연금이사장부터 말단까지 연봉, 활동비내역, 휴가내역, 전체 돈을 어디다 어떻게 썼는지 철저히 조사하고 국민의 동의를 얻으십시요. 동의를 못 얻는다면 이 지독한 국민빨대제도를 없애야 합니다. 내가 왜 대기업들 배불리고 연금이사장 연수비용내고 연금직원들 먹여살려야 합니까? 자살하고 싶은 생각 참아가면서 그 사람들 먹여 살려야 합니까? 그렇게 좋은 제도인데 왜 강제로 거둬야 합니까? 차라리 가면을 벗고 세금으로 돌리세요 좋은 나라인 척 세금 많이 않다고 하지말고...어려운 사람들에게는 세상에서 가장 더러운 이 나라에서 다같이 살기위해 부탁드립니다.",보건복지,2018,2018-08-20,54,Not answered,국민연금 때문에 국민들은 피를 토합니다.
petition_0009,"저는 현재 약대를 다니고 있는 재학생입니다. 오늘은 제 이야기를 한번 해보려고 합니다. 유년시절에, 가끔씩 몸이 좋지 않을 경우에는 종종 동네 약국에 가곤 했습니다. 약국에 들어서면 약국 특유의 향이 나고, 약사님께서는 저를 반갑게 맞아주었죠. 덕분에 약사님과 편하게 이야기 나누면서 증상에 맞는 약을 구입할 수 있었고, 동네 사랑방 같이 동네 주민들이 모이는 정겨운 분위기의 약국을 보면서 자연스럽게 지역 주민의 건강과 행복을 모두 책임질 수 있는 약사가 되길 꿈꿔왔습니다. 그로부터 약 20년이 지난 후, 드디어 약대에 입학하게 되었습니다. 어렸을 때부터 보고 꿈꾸던 약사가 되기 위해 20대의 시간 중 7년이라는 시간동안 모든 것을 쏟아 부어 만들어낸 결과물이죠. 하지만, 입학 후에 본 약대 교육은 제가 생각한 것과 너무나도 달랐습니다. 국가고시에 나오는 과목이라는 이유만으로 많은 교과목들이 수십여 년 동안 그대로 강의되고 있습니다. 기성세대들은 이렇게 말하더군요. ‘우리가 학교 다닐 때랑 바뀐게 거의 없네?’ 라고 말이죠. ‘지금 배우고 있는 모든 것들이 제대로 된 교육이 맞을까?’ 라는 의구심이 들 정도입니다. 현재 약학대학 편제는 2+4년제에서 통합 6년제로 바뀌고 있는 중입니다. 통합 6년제로 바뀌게 되면 약학대학 내에서 배우는 기간이 2년 증가하게 됩니다. 늘어난 2년 동안 무엇을 배워야 할까 생각해보다가 약사 직능과 관련된 전공과목이 추가되어야 함은 물론이거니와, 인문학적 소양을 길러 올바른 약사가 되기 위한 다양한 교양과목들도 추가되면 어떨까? 라는 생각이 들었죠. 예를 들면, 동물의약품, 커뮤니케이션, 심리학, 인문학, 경영학, 회계 관련 과목 등이 있을 것 같네요. 저는 단순하게 약사 면허를 받기 위해 약대에 진학한 것이 아닙니다. 인문학적 소양을 길러 올바른 직업의식을 가진 후에 약학에 대한 폭 넓은 공부를 하여 약의 전문가가 되기 위하여 진학한 것입니다. 약사 면허는 약에 대한 전문가가 되는 과정에서 자연스럽게 따라오는 것이기에 중요한 것이 아닙니다. “저는 공부다운 공부를 하고 싶습니다.” 이론을 확립했다면 이를 실제로 활용할 방법도 터득해야한다고 생각합니다. 그렇기 때문에 실무실습교육이 존재한다고 여겨집니다. 실무실습교육은 사회로 진출하기 전에, 약국, 병원, 제약회사 등을 실습하고 어떻게 이론을 적용시키면 되는지 생각해보는 과정이죠. 하지만, 8년이 지난 이 시점에서도 실무실습교육은 해결되지 못한 문제들이 많습니다. 학교별로 실무실습을 진행하는 기준이 모두 다를 뿐만 아니라, 최소한의 가이드라인조차 설정되어 있지 않다는 것인데요. 새내기 약사로서 일정 수준 이상의 약료 서비스를 제공하기 위해서, 실습기간동안 분야별로 최소한 알아야 할 것들의 가이드라인이라도 마련되어져 있다면 얼마나 좋을까요. “저는 표준화가 되어있는 실무실습교육을 받고 싶습니다.” 약학대학의 정규교과과정에서 미흡한 부분이 많아 제대로 교육을 받고 있지 않다고 생각하는 사람은 저 뿐만이 아닐 것입니다. 그렇다면 정부 부처에서는 약학 교육의 질적 향상을 도모하는 모습을 보여줘야 하는데, 질적 향상은 고사하고 약학대학 정원을 증가시켜 무작정 약사의 수만 늘리려고 하고 있습니다. 이는, 매년 제대로 교육을 받지 못하는 60명의 인원이 추가로 입학하고, 졸업한다는 것을 의미하게 되겠죠? 먼 훗날, 약학교육시스템이 확립된다면 그 때는 정원을 증가해도 상당한 수준의 약사들이 배출될 가능성이 높기 때문에 반대할 사람은 많이 없다고 생각하지만, 음식도 급하게 먹으면 체하듯이 무분별한 인원증가가 모든 것을 해결해 주지는 않습니다. “저는 무분별한 약대 정원 증가보다는 약학교육시스템의 개선이 우선이라고 생각합니다.” 앞에서도 이야기하였지만, 제 꿈은 지역 주민의 건강과 행복을 모두 책임질 수 있는 약사가 되는 것입니다. 조제만 하고 의무적인 복약상담만 하는 딱딱한 약사가 아닌, 지역 주민들을 기억하고, 챙겨주고, 소통하면서 더 나은 약료 서비스를 제공하고 싶습니다. 여러분, 제 꿈을 실현시킬 수 있도록 도와주세요.",보건복지,2018,2018-12-04,603,Not answered,약학대학 60명 정원 증가 전에 먼저 제대로 된 약학교육시스템을 확립해주세요.
